Objektname;Gerätemodell;Firmwareversion;Adresse + Port;Geräteinstanznr.;SW Version Applikation;Beschreibung;Subnetzmaske;Router
00DA101;PXC3.E75A-2;v01.21;172.16.11.11;3146763;"AAS-20:SU=SiUn;CPD=2025-10-01 08:22:15;";Automationsstation;;
00DB401;PXC3.E16A-2;v01.21;172.16.14.12;3149836;"AAS-20:SU=SiUn;CPD=2025-05-21 09:26:01;";Automationsstation;;
02DA103;PXC3.E75A-2;v01.21;172.16.11.34;3146786;"AAS-20:SU=SiUn;CPD=2025-07-16 09:34:08;";Automationsstation;;
00DB301;PXC3.E16A-2;v01.21;172.16.13.12;3148812;"AAS-20:SU=SiUn;CPD=2025-05-20 22:28:17;";Automationsstation;;
00DA110;PXC3.E75A-2;v01.21;172.16.11.51;3146803;"AAS-20:SU=SiUn;CPD=2025-07-24 10:32:08;";Automationsstation;;
00DB101;PXC3.E75A-2;v01.21;172.16.11.12;3146764;"AAS-20:SU=SiUn;CPD=2025-07-24 10:32:11;";Automationsstation;;
00DA410;PXC3.E75A-2;v01.21;172.16.14.51;3149875;"AAS-20:SU=SiUn;CPD=2025-07-30 10:39:53;";Automationsstation;;
00DB103;PXC3.E16A-2;v01.21;172.16.11.15;3146767;"AAS-20:SU=SiUn;CPD=2025-07-24 10:32:11;";Automationsstation;;
02DA210;PXC3.E75A-2;v01.21;172.16.12.52;3147828;"AAS-20:SU=SiUn;CPD=2025-07-30 09:44:26;";Automationsstation;;
00DA404;PXC3.E75A-2;v01.21;172.16.14.14;3149838;"AAS-20:SU=SiUn;CPD=2025-07-24 11:35:31;";Automationsstation;;
00DB201;PXC3.E16A-2;v01.21;172.16.12.12;3147788;"AAS-20:SU=SiUn;CPD=2025-05-20 22:27:21;";Automationsstation;;
01DB101;PXC3.E16A-2;v01.21;172.16.11.22;3146774;"AAS-20:SU=SiUn;CPD=2025-07-16 13:17:31;";Automationsstation;;
02DB401;PXC3.E16A-2;v01.21;172.16.14.32;3149856;"AAS-20:SU=SiUn;CPD=2025-05-20 23:12:42;";Automationsstation;;
02DB101;PXC3.E16A-2;v01.21;172.16.11.32;3146784;"AAS-20:SU=SiUn;CPD=2025-07-16 09:34:20;";Automationsstation;;
02DB201;PXC3.E16A-2;v01.21;172.16.12.32;3147808;"AAS-20:SU=SiUn;CPD=2025-05-20 23:11:12;";Automationsstation;;
01DA403;PXC3.E75A-2;v01.21;172.16.14.25;3149849;"AAS-20:SU=SiUn;CPD=2025-07-16 14:20:38;";Automationsstation;;
01DA201;PXC3.E75A-2;v01.21;172.16.12.21;3147797;"AAS-20:SU=SiUn;CPD=2025-07-16 13:34:22;";Automationsstation;;
03DA201;PXC3.E75A-2;v01.21;172.16.12.41;3147817;"AAS-20:SU=SiUn;CPD=2025-07-16 08:39:39;";Automationsstation;;
01DB402;PXC3.E16A-2;v01.21;172.16.14.24;3149848;"AAS-20:SU=SiUn;CPD=2025-07-16 14:21:50;";Automationsstation;;
AS_B100 02PC210;PXC4.E16-2;02.21.194.29;172.16.12.53;681011;"AAS-30:SU=SiUn;CPD=2025-04-16 13:02:58;";M-Bus Zähler EG/1.OG;;
00DA401;PXC3.E75A-2;v01.21;172.16.14.11;3149835;"AAS-20:SU=SiUn;CPD=2025-08-14 07:42:58;";Automationsstation;;
AS_B100 02PD210;PXC4.E16-2;02.21.194.29;172.16.12.54;681012;"AAS-30:SU=SiUn;CPD=2025-07-29 12:27:32;";M-Bus Zähler 2.OG/3.OG;;
02DB103;PXC3.E16A-2;v01.21;172.16.11.35;3146787;"AAS-20:SU=SiUn;CPD=2025-07-16 09:34:20;";Automationsstation;;
01DB103;PXC3.E16A-2;v01.21;172.16.11.25;3146777;"AAS-20:SU=SiUn;CPD=2025-07-16 13:17:31;";Automationsstation;;
00DA203;PXC3.E75A-2;v01.21;172.16.12.16;3147792;"AAS-20:SU=SiUn;CPD=2025-09-24 13:25:27;";Automationsstation;;
AS_D100 02PD410;PXC4.E16-2;02.22.233.24;172.16.14.54;681016;"AAS-30:SU=SiUn;CPD=2025-07-29 12:18:15;";M-Bus Zähler 2.OG;;
